d $-114.52, Open 0/20
[2026-06-21 11:30:20] Cycle done. Cap $4885.48, Realized $-114.52, Open 0/20
[2026-06-21 11:35:17] Cycle done. Cap $4885.48, Realized $-114.52, Open 0/20
[2026-06-21 11:40:19] Cycle done. Cap $4885.48, Realized $-114.52, Open 0/20
[2026-06-21 11:45:18] Cycle done. Cap $4885.48, Realized $-114.52, Open 0/20
[2026-06-21 11:50:17] Cycle done. Cap $4885.48, Realized $-114.52, Open 0/20
[2026-06-21 11:55:14] OPEN GUA SHORT @ 0.6889, SL=0.733107, TP=0.571014
[2026-06-21 11:55:18] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 12:00:21] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 12:05:30] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 12:10:28] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 12:15:29] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 12:20:33] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 12:25:27] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 12:30:37] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 12:35:30] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 12:40:28] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 12:45:32] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 12:50:28] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 12:55:31] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 13:00:34] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 13:12:29] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 13:26:38] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 13:42:20] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 13:55:56] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 14:17:24] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 14:31:06] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 14:44:22] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 14:59:23] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 15:14:19] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 15:28:35] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 15:39:11] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 15:53:40] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 16:12:20] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 16:24:43] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 16:38:52] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 16:48:21] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 17:03:03] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 17:17:19] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 17:31:01] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 17:46:16] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 17:59:39] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 18:34:35] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 18:52:15] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
[2026-06-21 19:09:05] Cycle done. Cap $4635.48, Realized $-114.52, Open 1/20
