timestamp,pair,direction,n_entries,entry_spread,exit_spread,entry_z,exit_z,pnl_pct,fee_usd,net_pnl_usd,outcome,hold_h,reason,balance_after,beta_stored
2026-07-03 06:04,LINK/XRP,SHORT,2,1.962584,1.95911,3.064,1.474,0.3474,0.32,0.3748,WIN,9.6,swap,4999.11,0.975153
2026-07-05 06:02,NEAR/SAND,SHORT,1,3.183378,3.159482,1.936,-0.315,2.3895,0.32,4.4591,WIN,57.6,MEAN,5003.49,0.83073
2026-07-05 06:02,ONDO/SAND,SHORT,1,0.049166,0.023068,1.872,0.153,2.6098,1.28,19.5983,WIN,57.6,MEAN,5023.09,0.380244
2026-07-05 06:02,JUP/PENGU,SHORT,2,-3.526015,-3.741305,1.867,0.433,21.529,1.28,170.952,WIN,57.6,MEAN,5194.04,-0.45678
2026-07-05 06:02,SOL/XRP,SHORT,2,4.389974,4.390398,1.843,0.278,-0.0424,1.28,-1.619,LOSS,57.6,MEAN,5192.42,-0.025719
2026-07-10 06:05,SUSHI/WIF,SHORT,2,-1.419188,-1.444584,2.385,1.836,2.5396,0.32,4.7593,WIN,177.7,profit_lock,5196.88,0.194864
2026-07-10 06:05,1000FLOKI/1INCH,LONG,2,1.28512,1.372918,-2.381,-1.41,8.7798,1.28,68.958,WIN,177.7,profit_lock,5265.83,1.962992
2026-07-10 06:05,LINK/SOL,SHORT,2,1.552921,1.783521,2.345,1.919,-23.0601,0.32,-46.4401,LOSS,177.7,TIMEOUT,5219.39,0.065211
2026-07-10 06:05,1000SHIB/1INCH,LONG,2,-2.067149,-2.043915,-2.254,-0.782,2.3234,0.32,4.3268,WIN,177.7,profit_lock,5223.72,1.293399
2026-07-10 06:05,1000FLOKI/1000PEPE,LONG,1,1.461447,1.415294,-1.779,-0.879,-4.6152,0.32,-9.5504,LOSS,177.7,TIMEOUT,5214.17,0.876231
2026-07-10 06:05,1000BONK/1000SHIB,SHORT,2,-0.78677,-0.984662,2.359,-1.429,19.7892,0.8,98.146,WIN,168.0,TIMEOUT,5312.32,0.832445
2026-07-10 06:05,GALA/SAND,LONG,1,-3.892364,-3.943856,-2.927,-0.904,-5.1492,1.28,-42.4735,LOSS,120.1,TIMEOUT,5269.84,0.729254
2026-07-10 06:05,BNB/DOGE,SHORT,1,7.656073,7.677377,2.765,1.042,-2.1304,0.32,-4.5807,LOSS,120.1,TIMEOUT,5265.26,0.506896
2026-07-10 06:05,ETH/SUI,SHORT,1,7.749879,7.777735,2.518,1.067,-2.7856,0.32,-5.8911,LOSS,120.1,TIMEOUT,5259.37,0.921157
2026-07-10 06:05,ETHFI/PENGU,SHORT,1,2.780015,2.757064,2.416,0.429,2.295,0.32,4.2701,WIN,120.1,MEAN,5263.64,0.727125
2026-07-10 10:25,RENDER/RUNE,LONG,5,1.030439,1.042643,-1.843,-1.025,1.2204,0.32,2.1209,WIN,4.3,swap,5262.51,0.649554
2026-07-10 10:30,SAND/TIA,LONG,3,-2.620436,-2.61366,-1.483,-1.133,0.6775,0.32,1.035,WIN,4.4,swap,5263.47,0.4531
2026-07-10 10:50,ONDO/RUNE,LONG,5,-0.417185,-0.401942,-1.834,-1.031,1.5243,0.32,2.7287,WIN,4.8,profit_lock,5266.12,0.796788
2026-07-10 12:35,1000SHIB/1MBABYDOGE,SHORT,6,1.899044,1.865007,2.066,2.252,3.4037,0.8,16.2185,WIN,2.1,swap,5281.33,0.898429
2026-07-10 13:15,1000FLOKI/1INCH,LONG,4,-0.487913,-0.468953,-1.788,-1.766,1.8959,0.8,8.6796,WIN,2.8,swap,5289.45,1.264245
2026-07-10 14:25,LTC/XRP,SHORT,6,3.733803,3.733037,1.44,1.817,0.0766,1.28,-0.6673,LOSS,8.3,swap,5288.14,0.610321
2026-07-10 14:30,LTC/SOL,SHORT,4,2.437588,2.430093,1.462,1.714,0.7495,1.28,4.716,WIN,3.7,swap,5292.7,0.313132
2026-07-10 15:10,ONDO/PENGU,SHORT,5,2.302825,2.296031,1.954,1.781,0.6794,0.8,2.5971,WIN,2.6,swap,5294.65,0.672838
2026-07-10 15:40,1000SHIB/1MBABYDOGE,SHORT,4,1.97395,1.973432,2.117,1.379,0.0518,0.8,-0.5411,LOSS,2.4,swap,5293.79,0.912506
2026-07-10 16:25,RENDER/RUNE,LONG,5,0.961772,0.963399,-2.067,-1.778,0.1626,0.8,0.0131,WIN,2.0,swap,5292.85,0.573274
2026-07-10 17:10,LTC/SOL,SHORT,6,2.475161,2.473948,1.871,1.983,0.1213,0.8,-0.1934,LOSS,2.0,swap,5292.17,0.303993
2026-07-10 20:05,LTC/XRP,SHORT,8,3.742209,3.742177,1.886,1.952,0.0032,0.8,-0.784,LOSS,5.6,swap,5290.75,0.55069
2026-07-10 20:20,SUSHI/WIF,SHORT,5,-1.606126,-1.583082,1.836,0.497,-2.3044,0.32,-4.9288,LOSS,14.3,MEAN,5285.58,0.116309
