ts,coin,action,reason,price,funding,fees
2026-05-31T20:03:48.235536+00:00,GUA,OPEN,funding_positive,0.8933,0.00023467,0.1
2026-05-31T20:03:48.839195+00:00,BROCCOLIF3B,OPEN,funding_positive,0.005365,0.0002052,0.1
2026-05-31T20:03:51.035147+00:00,SKYAI,OPEN,funding_positive,0.17871,5e-05,0.1
2026-05-31T20:03:52.035642+00:00,PTB,OPEN,funding_positive,0.0007467,0.00027744,0.1
2026-05-31T20:03:54.435890+00:00,BLUAI,OPEN,funding_positive,0.011502,5e-05,0.1
2026-05-31T20:03:57.535758+00:00,SPORTFUN,OPEN,funding_positive,0.07171,5e-05,0.1
2026-05-31T20:04:01.235317+00:00,XMR,OPEN,funding_positive,362.53,0.0001,0.1
2026-05-31T20:04:03.235779+00:00,Q,OPEN,funding_positive,0.019792,0.00014973,0.1
2026-05-31T20:04:03.935956+00:00,US,OPEN,funding_positive,0.007053,5e-05,0.1
2026-05-31T20:04:04.535760+00:00,SWARMS,OPEN,funding_positive,0.007224,8.645e-05,0.1
